Node,Closeness_Centrality
2240,0.26394195172515916
753,0.2638638045891932
8356,0.26371545244718
305,0.2636764401313648
241,0.2635205062243118
2292,0.26348934157230286
554,0.2634581842906554
268,0.2634581842906554
3409,0.2634192480491842
1132,0.26341146218189343
832,0.26338032331471467
370,0.26338032331471467
390,0.26337253974821206
6169,0.26327139523204635
2184,0.263255841432074
242,0.26324806522124417
2641,0.26324028946979766
8206,0.26322473934489177
281,0.2632091910570306
1345,0.2631314771620066
8290,0.2631314771620066
4145,0.2631314771620066
8832,0.2631237082964275
8736,0.26311593988958104
2864,0.26311593988958104
4288,0.2630771047349156
1089,0.26306157388275575
8264,0.2630538091443077
800,0.26299170773452946
329,0.26299170773452946
2584,0.2629606680239592
37,0.2629606680239592
402,0.26294515091611836
8385,0.26294515091611836
376,0.26292963563947486
4385,0.26292187868775074
8545,0.2628986105784831
578,0.2628986105784831
292,0.2628986105784831
9729,0.2628675928383919
4944,0.2627823317803857
1043,0.2627358490566038
2598,0.2627358490566038
8708,0.2627281035346835
102,0.26269712601326456
8212,0.26269712601326456
4368,0.262681639991747
4620,0.2625887621909897
529,0.26254234791574604
9286,0.26253461379838566
134,0.26251914693059974
344,0.262495950045654
3440,0.2624572976793497
4102,0.2624572976793497
564,0.2624109298627878
448,0.2624032034861467
2565,0.26235685477935766
280,0.26235685477935766
208,0.26234913158669415
74,0.26231824336257137
9281,0.26231052244297276
356,0.26229508196721313
1440,0.2622719246615656
9232,0.2622487714445458
2817,0.26219476316563695
4129,0.2621407771273936
9217,0.2621176470588235
1316,0.2620482813372931
5122,0.2620174639108576
8834,0.2620020579156255
243,0.26199435559736595
131,0.26197125135953436
9344,0.2619635508524397
4152,0.2619096599759015
1289,0.2618634854406018
2360,0.2618327114610571
4992,0.2618250190963041
450,0.2618250190963041
372,0.2618019447137276
5184,0.26173274596182083
1074,0.26171737342887347
1424,0.26165590135055783
1153,0.26164821937112825
8270,0.2616405378427573
521,0.2615714243785037
1048,0.2615637473585349
6145,0.2615637473585349
1801,0.2615560707891879
4392,0.2615483946704232
880,0.2615330437844817
1824,0.26151002083394465
4928,0.2614870019365061
1408,0.26147932987119676
4628,0.26147932987119676
2609,0.2614639870910958
2372,0.26144864611142077
1226,0.26143330693185485
2848,0.2614256380170138
3460,0.26140263397178304
9235,0.2613183204316209
8202,0.26126469467327257
588,0.2612417189423697
2322,0.26121874725210303
1312,0.2611192499267507
2632,0.26111159942574197
1300,0.2611039493730224
4108,0.2611039493730224
1812,0.26108865061229275
3090,0.2610810019042039
8321,0.2610657058323813
4880,0.26105041155276953
9218,0.26104276508494434
4099,0.26101982836891896
306,0.2610045394640504
1106,0.2610045394640504
2328,0.26098925235013326
1112,0.26098160946468313
2209,0.2608975672589947
976,0.2608899297423888
8404,0.2608670198753037
3138,0.26083647964410106
400,0.26082121220989785
2800,0.26082121220989785
424,0.260805946562875
4357,0.26079068270271855
8260,0.26079068270271855
19,0.2607830514426172
1042,0.26077542062911485
9280,0.26067626067626065
8484,0.2606381423098295
1125,0.2606305199742645
35,0.2606228980845153
8453,0.26059241498289426
610,0.26046294131400516
309,0.26046294131400516
101,0.2604553292223164
4134,0.260447717575545
6148,0.2604172754368535
8456,0.2604096660140841
4344,0.2604096660140841
291,0.2603944485025566
584,0.2603640188144556
864,0.2603640188144556
4348,0.26035641250365177
3320,0.26031078397008994
7208,0.2602879757002249
4116,0.2602879757002249
1392,0.2602803738317757
4264,0.26025757089040097
5312,0.2601891860329324
796,0.2601891860329324
4240,0.2601663990658298
5376,0.2601512099716846
299,0.26014361608967246
1472,0.26012083710341205
4372,0.2600828809899025
166,0.26006770164585036
5008,0.26006770164585036
518,0.2600297610363843
8458,0.2600070019838954
1248,0.25995391301811394
1556,0.259931167240273
5176,0.25992358619885086
3377,0.25981749803212734
1173,0.25976448641716215
4625,0.2597569150951645
6154,0.25974934421451473
56,0.259719065104622
3091,0.25968879305320824
8737,0.2595980192251675
9220,0.2595980192251675
5824,0.2595677753830023
3201,0.25956021552351827
8216,0.2595299804886572
7680,0.25952242283051835
2577,0.2595148656125331
1348,0.2594997524968698
720,0.2594619774077093
8240,0.2594317652538426
2512,0.2594242133147032
816,0.25938646021305084
1066,0.2593487180979542
342,0.25934117099289955
4196,0.2593260781004481
2824,0.25931853231297464
2136,0.25931853231297464
