Node,Degree
5160,9
4084,9
1563,9
1075,9
724,9
4280,9
3424,9
484,9
5896,9
5898,9
4802,9
3170,9
7180,9
7204,9
7312,9
1731,9
3186,9
2550,9
3653,9
2156,9
2164,9
8524,9
3480,9
2812,9
2316,9
2318,9
7248,9
183,9
5288,9
5292,9
2528,9
343,9
8904,9
382,9
9540,9
5244,9
3268,9
4401,9
4878,9
2882,9
2886,9
8608,9
9616,9
1116,9
4171,9
1564,9
7392,9
1712,9
5760,9
5764,9
2179,9
2183,9
2185,9
5712,9
9475,9
9478,9
4242,9
2172,9
2146,9
285,9
3654,9
4484,9
1557,9
8898,9
8250,9
1571,9
1572,9
5168,9
5174,9
2657,9
8962,9
8963,9
9488,9
9492,9
5536,9
8532,9
8536,9
8514,9
2865,9
5752,9
597,9
599,9
601,9
8199,9
8203,9
8205,9
5698,9
8546,9
115,9
1165,9
4186,9
4194,9
4198,9
4452,9
4467,9
3220,9
9568,9
2856,9
4897,9
2258,9
2264,9
3473,9
1236,9
2213,9
883,9
2666,9
2595,9
2602,9
2604,9
850,9
3952,9
9347,9
4130,9
103,9
327,9
334,9
8746,9
1906,9
3849,9
3850,9
803,9
804,9
9040,9
1620,9
3880,9
2628,9
2634,9
2653,9
826,8
3852,8
3714,8
9044,8
8222,8
1617,8
1618,8
1619,8
4403,8
1640,8
9354,8
1624,8
1622,8
3936,8
856,8
5204,8
5201,8
2601,8
2597,8
1673,8
1669,8
1649,8
8233,8
8230,8
4235,8
121,8
1206,8
5672,8
4886,8
8518,8
9253,8
2842,8
2841,8
4901,8
5639,8
2245,8
1188,8
3496,8
8582,8
5669,8
2301,8
2299,8
2298,8
2295,8
5552,8
459,8
458,8
1140,8
8624,8
8616,8
2823,8
4916,8
2257,8
5616,8
5572,8
9254,8
8492,8
4243,8
2182,8
5728,8
1260,8
1225,8
8529,8
1241,8
4881,8
2876,8
2874,8
2873,8
2869,8
9482,8
8652,8
8649,8
8521,8
2168,8
2161,8
2138,8
2134,8
279,8
9270,8
3444,8
4166,8
317,8
8593,8
1125,8
8656,8
2883,8
2148,8
8497,8
481,8
9260,8
4266,8
4258,8
3461,8
4836,8
9409,8
9401,8
3428,8
4274,8
4273,8
1101,8
2319,8
444,8
1141,8
4181,8
2077,8
2071,8
2090,8
9256,8
